Локация;Тир;Размер сундуков;Содержимое
Fynitos-Ezatam;T8;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие, 🟢 Зеленые (x4), 🌿 Волокно
Files-Izizaum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🌲 Дерево (x2), 🪨 Камень
Suyitos-Oyarlos;T8;📦 Большие (Главный спавн);🟢 Зеленые (x6), 🪨 Камень, ⛏ Руда, 🦇 Данж
Tilitos-Ataglos;T8;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x9), 🦇 Данж
Fones-Opavun;T8;📦 Большие (Главный спавн);🟡 Золотые (x3), 🟢 Зеленые (x2), 🌲 Дерево, 🦇 Данж
Fuyes-Izohun;T8;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x5), 🐅 Шкура
Hynes-Ieatun;T8;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x2), 🐅 Шкура, 🦇 Данж
Filites-Izohun;T8;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x5), 🐅 Шкура, 🦇 Данж
Fiees-Ohohtum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🪨 Камень (x2), 🦇 Данж (x2)
Foros-Uzazlum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🐅 Шкура, 🌿 Волокно, 🪨 Камень, ⛏ Руда
Hiles-Izizaum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🌲 Дерево (x2), 🪨 Камень, 🦇 Данж
Cilos-Otatrom;T8;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x6), 🌲 Дерево (x2)
Hurites-Ieatun;T8;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x2), 🐅 Шкура, 🦇 Данж
Files-Azazsum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x7), ⛏ Руда (x2), 🌿 Волокно
Silitos-Abizaum;T8;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые (x2), ⛏ Руда, 🐅 Шкура
Sebos-Oyohun;T8;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x2), 🌲 Дерево, 🌿 Волокно, 🪨 Камень, 🦇 Данж
Filitos-Uzazlum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🐅 Шкура, 🪨 Камень, 🌿 Волокно, ⛏ Руда
Fasites-Azazsum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x7), ⛏ Руда (x2), 🌿 Волокно
Ferites-Ohohtum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🪨 Камень (x2), 🦇 Данж (x2)
Cieitos-Otatrom;T8;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x6), 🌲 Дерево (x2)
Synos-Oyarlos;T8;📦 Большие (Главный спавн);🟢 Зеленые (x6), ⛏ Руда, 🪨 Камень
Honos-Oyezam;T8;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x5), 🐅 Шкура, 🦇 Данж
Febites-Opavun;T8;📦 Большие (Главный спавн);🟡 Золотые (x3), 🟢 Зеленые (x2), 🌲 Дерево, 🦇 Данж
Tuyitos-Aboysum;T8;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые, 🌿 Волокно (x2), ⛏ Руда, 🦇 Данж
Honites-Izizaum;T8;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🌲 Дерево (x2), 🪨 Камень, 🦇 Данж
Siritos-Oyohun;T8;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x2), 🪨 Камень, 🦇 Данж (x2)
Touos-Ataglos;T8;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x9), 🐅 Шкура, 🦇 Данж
Fasitos-Oyuctum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые, 🪨 Камень, ⛏ Руда, 🦇 Данж
Feros-Oyuctum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые, 🪨 Камень, ⛏ Руда, 🦇 Данж
Qiient-Al-Qinsis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🪨 Камень, 🐅 Шкура
Pieos-Ofairom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x5), ⛏ Руда, 🦇 Данж
Quaent-Qintis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🌲 Дерево
Tiros-Odoxlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые, 🌿 Волокно (x2), 🌲 Дерево
Fynes-Unavtum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌿 Волокно, ⛏ Руда (x3), 🦇 Данж (x3)
Sases-Avuotum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🐅 Шкура, 🌿 Волокно, ⛏ Руда
Qiient-Oc-Odetum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), ⛏ Руда, 🌲 Дерево
Pynitos-Aietam;T6;📦 Большие (Главный спавн);🟡 Золотые (x4), 🟢 Зеленые, 🌲 Дерево, 🌿 Волокно
Xebos-Exostum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🌲 Дерево, 🌿 Волокно, 🦇 Данж
Suyitos-Ofugtum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые (x2), 🪨 Камень, 🦇 Данж
Xebitos-Oyogam;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🔵 Синие (x2), 🟢 Зеленые, 🪨 Камень (x2), 🦇 Данж
Suyos-Onaytum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🔵 Синие, 🟢 Зеленые, 🌿 Волокно (x2)
Setent-Et-Qintis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево (x2)
Suyites-Uzurtum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🌿 Волокно (x2), ⛏ Руда, 🦇 Данж
Feritos-Osinsum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🔵 Синие, ⛏ Руда, 🦇 Данж
Cases-Ugumlos;T6;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые, 🪨 Камень, 🦇 Данж, 🌲 Дерево, ⛏ Руда, 🐅 Шкура
Oires-Oloblum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые, 🐅 Шкура, 🌿 Волокно, 🦇 Данж (x3)
Huyitos-Ohenlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x3), 🐅 Шкура, 🌲 Дерево, 🦇 Данж
Tebitos-Odoxlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые, 🌿 Волокно (x2), 🌲 Дерево
Secent-Et-Odesis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌿 Волокно, 🐅 Шкура
Secent-Qi-Qinsom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌿 Волокно, 🐅 Шкура, ⛏ Руда
Toritos-Iriglos;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🟢 Зеленые (x5), 🌲 Дерево, 🪨 Камень
Secent-Odesom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), ⛏ Руда, 🪨 Камень
Souos-Availos;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x3), 🌿 Волокно, 🌲 Дерево, 🪨 Камень
Curitos-Ayayaum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x3), 🌲 Дерево, 🪨 Камень
Quaent-In-Nusis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🪨 Камень, 🐅 Шкура
Qiitun-Vietis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🪨 Камень
Qiient-Si-Tertum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌿 Волокно, 🌲 Дерево
Hiros-Iuaerom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🐅 Шкура (x2), 🦇 Данж
Piritos-Ofavam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x3), 🦇 Данж (x4)
Qiient-Qi-Nusom;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, ⛏ Руда
Qiient-Et-Nusas;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🐅 Шкура, ⛏ Руда
Secent-Sa-Odesis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌿 Волокно, 🐅 Шкура
Qiient-In-Viesis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🐅 Шкура (x2)
Petos-Aietam;T6;📦 Большие (Главный спавн);🟡 Золотые (x4), 🟢 Зеленые, 🌲 Дерево, 🌿 Волокно
Qiient-Si-Odesum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🌲 Дерево
Setent-Nusum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень, 🌿 Волокно
Siros-Obobrom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x2)
Xasos-Oneulum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие (x2), 🐅 Шкура (x2), 🦇 Данж
Poues-Unatam;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🟢 Зеленые (x2), 🌲 Дерево, 🦇 Данж
Foros-Egoisum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🪨 Камень, 🌲 Дерево, 🦇 Данж (x2)
Qiient-Et-Qinsum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево (x2)
Synitos-Ososlos;T6;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x4), 🦇 Данж (x2)
Ooros-Ataltum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x5), 🐅 Шкура
Tiros-Ouultum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x4), 🐅 Шкура (x2), ⛏ Руда (x2)
Qiient-Al-Nusom;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, ⛏ Руда
Qiient-Qi-Odesas;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🐅 Шкура, ⛏ Руда
Oynos-Oyozam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие, ⛏ Руда (x3), 🌲 Дерево, 🦇 Данж (x2)
Hetitos-Iuaerom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🐅 Шкура (x2), 🦇 Данж
Casitos-Atinaum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно
Fouos-Amaurom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🔵 Синие, 🟢 Зеленые, 🌲 Дерево, 🐅 Шкура, 🦇 Данж
